FID,Date Time,Organisation,Fleet,Working Hours Age,Number of Flights
1,29/12/2015 15:45,Flight Data Services Inc,AJT-B767,9,3
2,29/12/2015 15:45,Flight Data Services Inc,AJT-B767,10,2
3,29/12/2015 15:45,Flight Data Services Inc,MTN-ATR-42,3,2
4,29/12/2015 15:45,Flight Data Services Inc,CFS-ATR-42,2,4
5,29/12/2015 15:45,Flight Data Services Inc,CFS-ATR-72,2,5
6,29/12/2015 15:45,Flight Data Services Inc,ABX-B767,1,9
7,29/12/2015 15:45,Flight Data Services Inc,CFS-ATR-72,13,12
8,29/12/2015 15:45,Flight Data Services Inc,CNP-B737-NG,1,2
9,29/12/2015 15:45,Flight Data Services Inc,MTN-ATR-42,1,8
10,29/12/2015 15:45,Flight Data Services Inc,MTN-ATR-72,1,8
11,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,4,59
12,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,3,171
13,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,2,221
14,29/12/2015 15:45,Flight Data Services Ltd,AHY-B767,1,1
15,29/12/2015 15:45,Flight Data Services Ltd,DHX-B767,1,63
16,29/12/2015 15:45,Flight Data Services Ltd,EIN-A320,1,5
17,29/12/2015 15:45,Flight Data Services Ltd,EIN-A330,1,1
18,29/12/2015 15:45,Flight Data Services Ltd,IAW-B737,1,45
19,29/12/2015 15:45,Flight Data Services Ltd,NAS-B787,1,2
20,29/12/2015 15:45,Flight Data Services Ltd,SAS-A330,1,1
21,29/12/2015 15:45,Flight Data Services Ltd,SAS-A340,1,1
22,29/12/2015 15:45,Flight Data Services Ltd,UBA-ATR-72,1,14
23,29/12/2015 15:45,Flight Data Services Ltd,UBA-B737-NG,1,12
24,29/12/2015 15:45,Flight Data Services Ltd,UBA-ERJ-190,1,14
25,29/12/2015 16:00,Flight Data Services Inc,AJT-B767,9,1
26,29/12/2015 16:00,Flight Data Services Inc,MTN-ATR-42,4,2
27,29/12/2015 16:00,Flight Data Services Inc,CFS-ATR-42,2,4
28,29/12/2015 16:00,Flight Data Services Inc,CFS-ATR-72,2,5
29,29/12/2015 16:00,Flight Data Services Inc,ABX-B767,1,11
30,29/12/2015 16:00,Flight Data Services Inc,CFS-ATR-72,1,15
31,29/12/2015 16:00,Flight Data Services Inc,CNP-B737-NG,1,2
32,29/12/2015 16:00,Flight Data Services Inc,MTN-ATR-42,1,8
33,29/12/2015 16:00,Flight Data Services Inc,MTN-ATR-72,1,13
34,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,4,85
35,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,3,192
36,29/12/2015 16:00,Flight Data Services Ltd,AHY-B767,2,1
37,29/12/2015 16:00,Flight Data Services Ltd,EIN-A320,2,4
38,29/12/2015 16:00,Flight Data Services Ltd,EIN-A330,2,1
39,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,2,197
40,29/12/2015 16:00,Flight Data Services Ltd,UBA-ATR-72,2,10
41,29/12/2015 16:00,Flight Data Services Ltd,UBA-ERJ-190,2,14
42,29/12/2015 16:00,Flight Data Services Ltd,DHX-B767,1,68
43,29/12/2015 16:00,Flight Data Services Ltd,EIN-A320,1,3
44,29/12/2015 16:00,Flight Data Services Ltd,IAW-B737,1,28
45,29/12/2015 16:00,Flight Data Services Ltd,JTG-B737-Classic,1,1
46,29/12/2015 16:00,Flight Data Services Ltd,NAS-B737-NG,1,4
47,29/12/2015 16:00,Flight Data Services Ltd,NAS-B787,1,3
48,29/12/2015 16:00,Flight Data Services Ltd,SAS-A330,1,1
49,29/12/2015 16:00,Flight Data Services Ltd,SAS-A340,1,1
50,29/12/2015 16:00,Flight Data Services Ltd,UBA-ATR-72,1,4
51,29/12/2015 16:00,Flight Data Services Ltd,UBA-B737-NG,1,12
52,29/12/2015 16:15,Flight Data Services Inc,MTN-ATR-42,4,2
53,29/12/2015 16:15,Flight Data Services Inc,ABX-B767,2,6
54,29/12/2015 16:15,Flight Data Services Inc,CFS-ATR-42,2,2
55,29/12/2015 16:15,Flight Data Services Inc,CFS-ATR-72,2,7
56,29/12/2015 16:15,Flight Data Services Inc,CNP-B737-NG,2,2
57,29/12/2015 16:15,Flight Data Services Inc,ABX-B767,1,5
58,29/12/2015 16:15,Flight Data Services Inc,CFS-ATR-72,1,13
59,29/12/2015 16:15,Flight Data Services Inc,MTN-ATR-42,1,8
60,29/12/2015 16:15,Flight Data Services Inc,MTN-ATR-72,1,12
61,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,4,84
62,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,3,192
63,29/12/2015 16:15,Flight Data Services Ltd,AHY-B767,2,1
64,29/12/2015 16:15,Flight Data Services Ltd,EIN-A320,2,4
65,29/12/2015 16:15,Flight Data Services Ltd,EIN-A330,2,1
66,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,2,190
67,29/12/2015 16:15,Flight Data Services Ltd,UBA-ATR-72,2,10
68,29/12/2015 16:15,Flight Data Services Ltd,UBA-ERJ-190,2,14
69,29/12/2015 16:15,Flight Data Services Ltd,DHX-B767,1,68
70,29/12/2015 16:15,Flight Data Services Ltd,EIN-A320,1,3
71,29/12/2015 16:15,Flight Data Services Ltd,IAW-B737,1,28
72,29/12/2015 16:15,Flight Data Services Ltd,JTG-B737-Classic,1,1
73,29/12/2015 16:15,Flight Data Services Ltd,NAS-B737-NG,1,4
74,29/12/2015 16:15,Flight Data Services Ltd,NAS-B787,1,3
75,29/12/2015 16:15,Flight Data Services Ltd,SAS-A330,1,1
76,29/12/2015 16:15,Flight Data Services Ltd,SAS-A340,1,1
77,29/12/2015 16:15,Flight Data Services Ltd,UBA-ATR-72,1,4
78,29/12/2015 16:15,Flight Data Services Ltd,UBA-B737-NG,1,6
79,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-42,4,1
80,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-42,3,2
81,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-72,3,5
82,29/12/2015 16:30,Flight Data Services Inc,ABX-B767,2,9
83,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-72,2,9
84,29/12/2015 16:30,Flight Data Services Inc,CNP-B737-NG,2,2
85,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-42,2,5
86,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-72,2,5
87,29/12/2015 16:30,Flight Data Services Inc,ABX-B767,1,2
88,29/12/2015 16:30,Flight Data Services Inc,CFS-ATR-72,1,6
89,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-42,1,2
90,29/12/2015 16:30,Flight Data Services Inc,MTN-ATR-72,1,7
91,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,4,84
92,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,3,192
93,29/12/2015 16:30,Flight Data Services Ltd,AHY-B767,2,1
94,29/12/2015 16:30,Flight Data Services Ltd,EIN-A320,2,4
95,29/12/2015 16:30,Flight Data Services Ltd,EIN-A330,2,1
96,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,2,189
97,29/12/2015 16:30,Flight Data Services Ltd,UBA-ATR-72,2,10
98,29/12/2015 16:30,Flight Data Services Ltd,UBA-ERJ-190,2,14
99,29/12/2015 16:30,Flight Data Services Ltd,DHX-B767,1,68
100,29/12/2015 16:30,Flight Data Services Ltd,EIN-A320,1,3
101,29/12/2015 16:30,Flight Data Services Ltd,IAW-B737,1,28
102,29/12/2015 16:30,Flight Data Services Ltd,JTG-B737-Classic,1,1
103,29/12/2015 16:30,Flight Data Services Ltd,NAS-B737-NG,1,4
104,29/12/2015 16:30,Flight Data Services Ltd,NAS-B787,1,3
105,29/12/2015 16:30,Flight Data Services Ltd,SAS-A330,1,1
106,29/12/2015 16:30,Flight Data Services Ltd,SAS-A340,1,1
107,29/12/2015 16:30,Flight Data Services Ltd,UBA-ATR-72,1,4
108,29/12/2015 16:30,Flight Data Services Ltd,UBA-B737-NG,1,5
109,29/12/2015 16:45,Flight Data Services Inc,MTN-ATR-42,4,1
110,29/12/2015 16:45,Flight Data Services Inc,CFS-ATR-42,3,2
111,29/12/2015 16:45,Flight Data Services Inc,CFS-ATR-72,3,5
112,29/12/2015 16:45,Flight Data Services Inc,ABX-B767,2,9
113,29/12/2015 16:45,Flight Data Services Inc,CFS-ATR-72,2,12
114,29/12/2015 16:45,Flight Data Services Inc,CNP-B737-NG,2,2
115,29/12/2015 16:45,Flight Data Services Inc,MTN-ATR-42,2,5
116,29/12/2015 16:45,Flight Data Services Inc,MTN-ATR-72,2,12
117,29/12/2015 16:45,Flight Data Services Inc,ABX-B767,1,2
118,29/12/2015 16:45,Flight Data Services Inc,CFS-ATR-72,1,3
119,29/12/2015 16:45,Flight Data Services Ltd,IAW-B737,4,84
120,29/12/2015 16:45,Flight Data Services Ltd,IAW-B737,3,192
121,29/12/2015 16:45,Flight Data Services Ltd,AHY-B767,2,1
122,29/12/2015 16:45,Flight Data Services Ltd,EIN-A320,2,4
123,29/12/2015 16:45,Flight Data Services Ltd,EIN-A330,2,1
124,29/12/2015 16:45,Flight Data Services Ltd,IAW-B737,2,189
125,29/12/2015 16:45,Flight Data Services Ltd,UBA-ATR-72,2,10
126,29/12/2015 16:45,Flight Data Services Ltd,UBA-ERJ-190,2,14
127,29/12/2015 16:45,Flight Data Services Ltd,DHX-B767,1,68
128,29/12/2015 16:45,Flight Data Services Ltd,EIN-A320,1,3
129,29/12/2015 16:45,Flight Data Services Ltd,IAW-B737,1,28
130,29/12/2015 16:45,Flight Data Services Ltd,JTG-B737-Classic,1,1
131,29/12/2015 16:45,Flight Data Services Ltd,NAS-B737-NG,1,4
132,29/12/2015 16:45,Flight Data Services Ltd,NAS-B787,1,3
133,29/12/2015 16:45,Flight Data Services Ltd,SAS-A330,1,1
134,29/12/2015 16:45,Flight Data Services Ltd,SAS-A340,1,1
135,29/12/2015 16:45,Flight Data Services Ltd,UBA-ATR-72,1,4
136,29/12/2015 17:00,Flight Data Services Inc,CFS-ATR-42,3,2
137,29/12/2015 17:00,Flight Data Services Inc,CFS-ATR-72,3,5
138,29/12/2015 17:00,Flight Data Services Inc,ABX-B767,2,11
139,29/12/2015 17:00,Flight Data Services Inc,CFS-ATR-72,2,15
140,29/12/2015 17:00,Flight Data Services Inc,CNP-B737-NG,2,2
141,29/12/2015 17:00,Flight Data Services Inc,MTN-ATR-42,2,1
142,29/12/2015 17:00,Flight Data Services Inc,MTN-ATR-72,2,12
143,29/12/2015 17:00,Flight Data Services Ltd,IAW-B737,4,84
144,29/12/2015 17:00,Flight Data Services Ltd,IAW-B737,3,192
145,29/12/2015 17:00,Flight Data Services Ltd,AHY-B767,2,1
146,29/12/2015 17:00,Flight Data Services Ltd,EIN-A320,2,4
147,29/12/2015 17:00,Flight Data Services Ltd,EIN-A330,2,1
148,29/12/2015 17:00,Flight Data Services Ltd,IAW-B737,2,189
149,29/12/2015 17:00,Flight Data Services Ltd,UBA-ATR-72,2,10
150,29/12/2015 17:00,Flight Data Services Ltd,UBA-ERJ-190,2,14
151,29/12/2015 17:00,Flight Data Services Ltd,DHX-B767,1,68
152,29/12/2015 17:00,Flight Data Services Ltd,EIN-A320,1,3
153,29/12/2015 17:00,Flight Data Services Ltd,IAW-B737,1,28
154,29/12/2015 17:00,Flight Data Services Ltd,JTG-B737-Classic,1,1
155,29/12/2015 17:00,Flight Data Services Ltd,NAS-B737-NG,1,4
156,29/12/2015 17:00,Flight Data Services Ltd,NAS-B787,1,3
157,29/12/2015 17:00,Flight Data Services Ltd,SAS-A330,1,1
158,29/12/2015 17:00,Flight Data Services Ltd,SAS-A340,1,1
159,29/12/2015 17:00,Flight Data Services Ltd,UBA-ATR-72,1,4
160,29/12/2015 17:15,Flight Data Services Inc,ABX-B767,3,6
161,29/12/2015 17:15,Flight Data Services Inc,CFS-ATR-72,3,6
162,29/12/2015 17:15,Flight Data Services Inc,ABX-B767,2,5
163,29/12/2015 17:15,Flight Data Services Inc,CFS-ATR-72,2,13
164,29/12/2015 17:15,Flight Data Services Inc,MTN-ATR-72,2,12
165,29/12/2015 17:15,Flight Data Services Ltd,IAW-B737,4,84
166,29/12/2015 17:15,Flight Data Services Ltd,IAW-B737,3,192
167,29/12/2015 17:15,Flight Data Services Ltd,AHY-B767,2,1
168,29/12/2015 17:15,Flight Data Services Ltd,EIN-A320,2,4
169,29/12/2015 17:15,Flight Data Services Ltd,EIN-A330,2,1
170,29/12/2015 17:15,Flight Data Services Ltd,IAW-B737,2,189
171,29/12/2015 17:15,Flight Data Services Ltd,UBA-ATR-72,2,10
172,29/12/2015 17:15,Flight Data Services Ltd,UBA-ERJ-190,2,14
173,29/12/2015 17:15,Flight Data Services Ltd,DHX-B767,1,68
174,29/12/2015 17:15,Flight Data Services Ltd,EIN-A320,1,3
175,29/12/2015 17:15,Flight Data Services Ltd,IAW-B737,1,28
176,29/12/2015 17:15,Flight Data Services Ltd,JTG-B737-Classic,1,1
177,29/12/2015 17:15,Flight Data Services Ltd,NAS-B737-NG,1,4
178,29/12/2015 17:15,Flight Data Services Ltd,NAS-B787,1,3
179,29/12/2015 17:15,Flight Data Services Ltd,SAS-A330,1,1
180,29/12/2015 17:15,Flight Data Services Ltd,SAS-A340,1,1
181,29/12/2015 17:15,Flight Data Services Ltd,UBA-ATR-72,1,4
182,29/12/2015 17:30,Flight Data Services Inc,CFS-ATR-72,4,3
183,29/12/2015 17:30,Flight Data Services Inc,ABX-B767,3,9
184,29/12/2015 17:30,Flight Data Services Inc,CFS-ATR-72,3,7
185,29/12/2015 17:30,Flight Data Services Inc,MTN-ATR-72,3,5
186,29/12/2015 17:30,Flight Data Services Inc,ABX-B767,2,2
187,29/12/2015 17:30,Flight Data Services Inc,CFS-ATR-72,2,4
188,29/12/2015 17:30,Flight Data Services Inc,MTN-ATR-72,2,7
189,29/12/2015 17:30,Flight Data Services Ltd,IAW-B737,4,84
190,29/12/2015 17:30,Flight Data Services Ltd,IAW-B737,3,192
191,29/12/2015 17:30,Flight Data Services Ltd,AHY-B767,2,1
192,29/12/2015 17:30,Flight Data Services Ltd,EIN-A320,2,4
193,29/12/2015 17:30,Flight Data Services Ltd,EIN-A330,2,1
194,29/12/2015 17:30,Flight Data Services Ltd,IAW-B737,2,189
195,29/12/2015 17:30,Flight Data Services Ltd,UBA-ATR-72,2,10
196,29/12/2015 17:30,Flight Data Services Ltd,UBA-ERJ-190,2,14
197,29/12/2015 17:30,Flight Data Services Ltd,DHX-B767,1,68
198,29/12/2015 17:30,Flight Data Services Ltd,EIN-A320,1,3
199,29/12/2015 17:30,Flight Data Services Ltd,IAW-B737,1,28
200,29/12/2015 17:30,Flight Data Services Ltd,JTG-B737-Classic,1,1
201,29/12/2015 17:30,Flight Data Services Ltd,NAS-B737-NG,1,4
202,29/12/2015 17:30,Flight Data Services Ltd,NAS-B787,1,3
203,29/12/2015 17:30,Flight Data Services Ltd,SAS-A330,1,1
204,29/12/2015 17:30,Flight Data Services Ltd,SAS-A340,1,1
205,29/12/2015 17:30,Flight Data Services Ltd,UBA-ATR-72,1,4
206,29/12/2015 17:45,Flight Data Services Inc,ABX-B767,3,9
207,29/12/2015 17:45,Flight Data Services Inc,CFS-ATR-72,3,4
208,29/12/2015 17:45,Flight Data Services Inc,MTN-ATR-72,3,12
209,29/12/2015 17:45,Flight Data Services Inc,ABX-B767,2,2
210,29/12/2015 17:45,Flight Data Services Ltd,IAW-B737,4,84
211,29/12/2015 17:45,Flight Data Services Ltd,IAW-B737,3,192
212,29/12/2015 17:45,Flight Data Services Ltd,AHY-B767,2,1
213,29/12/2015 17:45,Flight Data Services Ltd,EIN-A320,2,4
214,29/12/2015 17:45,Flight Data Services Ltd,EIN-A330,2,1
215,29/12/2015 17:45,Flight Data Services Ltd,IAW-B737,2,189
216,29/12/2015 17:45,Flight Data Services Ltd,UBA-ATR-72,2,10
217,29/12/2015 17:45,Flight Data Services Ltd,UBA-ERJ-190,2,14
218,29/12/2015 17:45,Flight Data Services Ltd,DHX-B767,1,68
219,29/12/2015 17:45,Flight Data Services Ltd,EIN-A320,1,3
220,29/12/2015 17:45,Flight Data Services Ltd,IAW-B737,1,28
221,29/12/2015 17:45,Flight Data Services Ltd,JTG-B737-Classic,1,1
222,29/12/2015 17:45,Flight Data Services Ltd,NAS-B737-NG,1,4
223,29/12/2015 17:45,Flight Data Services Ltd,NAS-B787,1,3
224,29/12/2015 17:45,Flight Data Services Ltd,SAS-A330,1,1
225,29/12/2015 17:45,Flight Data Services Ltd,SAS-A340,1,1
226,29/12/2015 17:45,Flight Data Services Ltd,UBA-ATR-72,1,4
227,29/12/2015 18:00,Flight Data Services Inc,ABX-B767,3,11
228,29/12/2015 18:00,Flight Data Services Inc,MTN-ATR-72,3,12
229,29/12/2015 18:00,Flight Data Services Inc,CFS-ATR-42,1,2
230,29/12/2015 18:00,Flight Data Services Ltd,IAW-B737,4,84
231,29/12/2015 18:00,Flight Data Services Ltd,IAW-B737,3,192
232,29/12/2015 18:00,Flight Data Services Ltd,AHY-B767,2,1
233,29/12/2015 18:00,Flight Data Services Ltd,EIN-A320,2,4
234,29/12/2015 18:00,Flight Data Services Ltd,EIN-A330,2,1
235,29/12/2015 18:00,Flight Data Services Ltd,IAW-B737,2,189
236,29/12/2015 18:00,Flight Data Services Ltd,UBA-ATR-72,2,10
237,29/12/2015 18:00,Flight Data Services Ltd,UBA-ERJ-190,2,14
238,29/12/2015 18:00,Flight Data Services Ltd,DHX-B767,1,68
239,29/12/2015 18:00,Flight Data Services Ltd,EIN-A320,1,3
240,29/12/2015 18:00,Flight Data Services Ltd,IAW-B737,1,28
241,29/12/2015 18:00,Flight Data Services Ltd,JTG-B737-Classic,1,1
242,29/12/2015 18:00,Flight Data Services Ltd,NAS-B737-NG,1,4
243,29/12/2015 18:00,Flight Data Services Ltd,NAS-B787,1,3
244,29/12/2015 18:00,Flight Data Services Ltd,SAS-A330,1,1
245,29/12/2015 18:00,Flight Data Services Ltd,SAS-A340,1,1
246,29/12/2015 18:00,Flight Data Services Ltd,UBA-ATR-72,1,4
247,29/12/2015 18:15,Flight Data Services Inc,ABX-B767,4,6
248,29/12/2015 18:15,Flight Data Services Inc,ABX-B767,3,5
249,29/12/2015 18:15,Flight Data Services Inc,MTN-ATR-72,3,12
250,29/12/2015 18:15,Flight Data Services Inc,CFS-ATR-42,1,1
251,29/12/2015 18:15,Flight Data Services Ltd,IAW-B737,4,84
252,29/12/2015 18:15,Flight Data Services Ltd,IAW-B737,3,192
253,29/12/2015 18:15,Flight Data Services Ltd,AHY-B767,2,1
254,29/12/2015 18:15,Flight Data Services Ltd,EIN-A320,2,4
255,29/12/2015 18:15,Flight Data Services Ltd,EIN-A330,2,1
256,29/12/2015 18:15,Flight Data Services Ltd,IAW-B737,2,189
257,29/12/2015 18:15,Flight Data Services Ltd,UBA-ATR-72,2,10
258,29/12/2015 18:15,Flight Data Services Ltd,UBA-ERJ-190,2,14
259,29/12/2015 18:15,Flight Data Services Ltd,DHX-B767,1,68
260,29/12/2015 18:15,Flight Data Services Ltd,EIN-A320,1,3
261,29/12/2015 18:15,Flight Data Services Ltd,IAW-B737,1,28
262,29/12/2015 18:15,Flight Data Services Ltd,JTG-B737-Classic,1,1
263,29/12/2015 18:15,Flight Data Services Ltd,NAS-B737-NG,1,4
264,29/12/2015 18:15,Flight Data Services Ltd,NAS-B787,1,3
265,29/12/2015 18:15,Flight Data Services Ltd,SAS-A330,1,1
266,29/12/2015 18:15,Flight Data Services Ltd,SAS-A340,1,1
267,29/12/2015 18:15,Flight Data Services Ltd,UBA-ATR-72,1,4
268,29/12/2015 18:30,Flight Data Services Inc,ABX-B767,4,9
269,29/12/2015 18:30,Flight Data Services Inc,MTN-ATR-72,4,5
270,29/12/2015 18:30,Flight Data Services Inc,ABX-B767,3,2
271,29/12/2015 18:30,Flight Data Services Inc,MTN-ATR-72,3,7
272,29/12/2015 18:30,Flight Data Services Inc,CFS-ATR-42,1,1
273,29/12/2015 18:30,Flight Data Services Ltd,IAW-B737,4,84
274,29/12/2015 18:30,Flight Data Services Ltd,IAW-B737,3,192
275,29/12/2015 18:30,Flight Data Services Ltd,AHY-B767,2,1
276,29/12/2015 18:30,Flight Data Services Ltd,EIN-A320,2,4
277,29/12/2015 18:30,Flight Data Services Ltd,EIN-A330,2,1
278,29/12/2015 18:30,Flight Data Services Ltd,IAW-B737,2,189
279,29/12/2015 18:30,Flight Data Services Ltd,UBA-ATR-72,2,10
280,29/12/2015 18:30,Flight Data Services Ltd,UBA-ERJ-190,2,14
281,29/12/2015 18:30,Flight Data Services Ltd,DHX-B767,1,68
282,29/12/2015 18:30,Flight Data Services Ltd,EIN-A320,1,3
283,29/12/2015 18:30,Flight Data Services Ltd,IAW-B737,1,28
284,29/12/2015 18:30,Flight Data Services Ltd,JTG-B737-Classic,1,1
285,29/12/2015 18:30,Flight Data Services Ltd,NAS-B737-NG,1,4
286,29/12/2015 18:30,Flight Data Services Ltd,NAS-B787,1,3
287,29/12/2015 18:30,Flight Data Services Ltd,SAS-A330,1,1
288,29/12/2015 18:30,Flight Data Services Ltd,SAS-A340,1,1
289,29/12/2015 18:30,Flight Data Services Ltd,UBA-ATR-72,1,4
290,29/12/2015 18:45,Flight Data Services Inc,ABX-B767,4,9
291,29/12/2015 18:45,Flight Data Services Inc,MTN-ATR-72,4,12
292,29/12/2015 18:45,Flight Data Services Inc,ABX-B767,3,2
293,29/12/2015 18:45,Flight Data Services Inc,CFS-ATR-42,1,1
294,29/12/2015 18:45,Flight Data Services Ltd,IAW-B737,4,84
295,29/12/2015 18:45,Flight Data Services Ltd,IAW-B737,3,192
296,29/12/2015 18:45,Flight Data Services Ltd,AHY-B767,2,1
297,29/12/2015 18:45,Flight Data Services Ltd,EIN-A320,2,4
298,29/12/2015 18:45,Flight Data Services Ltd,EIN-A330,2,1
299,29/12/2015 18:45,Flight Data Services Ltd,IAW-B737,2,189
300,29/12/2015 18:45,Flight Data Services Ltd,UBA-ATR-72,2,10
301,29/12/2015 18:45,Flight Data Services Ltd,UBA-ERJ-190,2,14
302,29/12/2015 18:45,Flight Data Services Ltd,DHX-B767,1,68
303,29/12/2015 18:45,Flight Data Services Ltd,EIN-A320,1,3
304,29/12/2015 18:45,Flight Data Services Ltd,IAW-B737,1,28
305,29/12/2015 18:45,Flight Data Services Ltd,JTG-B737-Classic,1,1
306,29/12/2015 18:45,Flight Data Services Ltd,NAS-B737-NG,1,4
307,29/12/2015 18:45,Flight Data Services Ltd,NAS-B787,1,3
308,29/12/2015 18:45,Flight Data Services Ltd,SAS-A330,1,1
309,29/12/2015 18:45,Flight Data Services Ltd,SAS-A340,1,1
310,29/12/2015 18:45,Flight Data Services Ltd,UBA-ATR-72,1,4
311,29/12/2015 19:00,Flight Data Services Inc,ABX-B767,4,8
312,29/12/2015 19:00,Flight Data Services Inc,MTN-ATR-72,4,12
313,29/12/2015 19:00,Flight Data Services Inc,CFS-ATR-42,1,1
314,29/12/2015 19:00,Flight Data Services Ltd,IAW-B737,4,84
315,29/12/2015 19:00,Flight Data Services Ltd,IAW-B737,3,192
316,29/12/2015 19:00,Flight Data Services Ltd,AHY-B767,2,1
317,29/12/2015 19:00,Flight Data Services Ltd,EIN-A320,2,4
318,29/12/2015 19:00,Flight Data Services Ltd,EIN-A330,2,1
319,29/12/2015 19:00,Flight Data Services Ltd,IAW-B737,2,189
320,29/12/2015 19:00,Flight Data Services Ltd,UBA-ATR-72,2,10
321,29/12/2015 19:00,Flight Data Services Ltd,UBA-ERJ-190,2,14
322,29/12/2015 19:00,Flight Data Services Ltd,DHX-B767,1,68
323,29/12/2015 19:00,Flight Data Services Ltd,EIN-A320,1,3
324,29/12/2015 19:00,Flight Data Services Ltd,IAW-B737,1,28
325,29/12/2015 19:00,Flight Data Services Ltd,JTG-B737-Classic,1,1
326,29/12/2015 19:00,Flight Data Services Ltd,NAS-B737-NG,1,4
327,29/12/2015 19:00,Flight Data Services Ltd,NAS-B787,1,3
328,29/12/2015 19:00,Flight Data Services Ltd,SAS-A330,1,1
329,29/12/2015 19:00,Flight Data Services Ltd,SAS-A340,1,1
330,29/12/2015 19:00,Flight Data Services Ltd,UBA-ATR-72,1,4
331,29/12/2015 19:15,Flight Data Services Inc,ABX-B767,5,2
332,29/12/2015 19:15,Flight Data Services Inc,MTN-ATR-72,4,12
333,29/12/2015 19:15,Flight Data Services Inc,CFS-ATR-42,2,1
334,29/12/2015 19:15,Flight Data Services Ltd,IAW-B737,4,84
335,29/12/2015 19:15,Flight Data Services Ltd,IAW-B737,3,192
336,29/12/2015 19:15,Flight Data Services Ltd,AHY-B767,2,1
337,29/12/2015 19:15,Flight Data Services Ltd,EIN-A320,2,4
338,29/12/2015 19:15,Flight Data Services Ltd,EIN-A330,2,1
339,29/12/2015 19:15,Flight Data Services Ltd,IAW-B737,2,189
340,29/12/2015 19:15,Flight Data Services Ltd,UBA-ATR-72,2,10
341,29/12/2015 19:15,Flight Data Services Ltd,UBA-ERJ-190,2,14
342,29/12/2015 19:15,Flight Data Services Ltd,DHX-B767,1,68
343,29/12/2015 19:15,Flight Data Services Ltd,EIN-A320,1,3
344,29/12/2015 19:15,Flight Data Services Ltd,IAW-B737,1,28
345,29/12/2015 19:15,Flight Data Services Ltd,JTG-B737-Classic,1,1
346,29/12/2015 19:15,Flight Data Services Ltd,NAS-B737-NG,1,4
347,29/12/2015 19:15,Flight Data Services Ltd,NAS-B787,1,3
348,29/12/2015 19:15,Flight Data Services Ltd,SAS-A330,1,1
349,29/12/2015 19:15,Flight Data Services Ltd,SAS-A340,1,1
350,29/12/2015 19:15,Flight Data Services Ltd,UBA-ATR-72,1,4
351,29/12/2015 19:30,Flight Data Services Inc,MTN-ATR-72,5,3
352,29/12/2015 19:30,Flight Data Services Inc,MTN-ATR-72,4,6
353,29/12/2015 19:30,Flight Data Services Inc,CFS-ATR-42,1,8
354,29/12/2015 19:30,Flight Data Services Ltd,IAW-B737,4,84
355,29/12/2015 19:30,Flight Data Services Ltd,IAW-B737,3,192
356,29/12/2015 19:30,Flight Data Services Ltd,AHY-B767,2,1
357,29/12/2015 19:30,Flight Data Services Ltd,EIN-A320,2,4
358,29/12/2015 19:30,Flight Data Services Ltd,EIN-A330,2,1
359,29/12/2015 19:30,Flight Data Services Ltd,IAW-B737,2,189
360,29/12/2015 19:30,Flight Data Services Ltd,UBA-ATR-72,2,10
361,29/12/2015 19:30,Flight Data Services Ltd,UBA-ERJ-190,2,14
362,29/12/2015 19:30,Flight Data Services Ltd,DHX-B767,1,68
363,29/12/2015 19:30,Flight Data Services Ltd,EIN-A320,1,3
364,29/12/2015 19:30,Flight Data Services Ltd,IAW-B737,1,28
365,29/12/2015 19:30,Flight Data Services Ltd,JTG-B737-Classic,1,1
366,29/12/2015 19:30,Flight Data Services Ltd,NAS-B737-NG,1,4
367,29/12/2015 19:30,Flight Data Services Ltd,NAS-B787,1,3
368,29/12/2015 19:30,Flight Data Services Ltd,SAS-A330,1,1
369,29/12/2015 19:30,Flight Data Services Ltd,SAS-A340,1,1
370,29/12/2015 19:30,Flight Data Services Ltd,UBA-ATR-72,1,4
371,29/12/2015 19:45,Flight Data Services Inc,MTN-ATR-72,5,6
372,29/12/2015 19:45,Flight Data Services Inc,CFS-ATR-42,1,14
373,29/12/2015 19:45,Flight Data Services Ltd,IAW-B737,4,84
374,29/12/2015 19:45,Flight Data Services Ltd,IAW-B737,3,192
375,29/12/2015 19:45,Flight Data Services Ltd,AHY-B767,2,1
376,29/12/2015 19:45,Flight Data Services Ltd,EIN-A320,2,4
377,29/12/2015 19:45,Flight Data Services Ltd,EIN-A330,2,1
